"sample","comp1","comp2"
"A_01",3.01866784328301,-3.87370837303849
"A_02",2.29376720861279,1.24978932068383
"A_03",2.63016580611177,-0.704611173501223
"A_04",-2.31747226844537,0.190782935946289
"A_05",-2.64971305663191,0.145409792856878
"A_06",1.02647882720602,1.29333718613155
"A_07",-2.46553723626817,-0.0612284072019753
"A_08",1.95709914683587,7.66934730453661
"A_09",-2.35011588809718,0.147437920728507
"A_10",3.06591640571182,-2.17530750989277
"A_11",-2.04888052127159,0.443306664596047
"A_12",2.61226275396407,-2.97860644268331
"A_13",-1.93394793421025,0.685423457598008
"A_14",-2.53495015998673,-0.843918899197198
"A_15",2.28543429064915,-2.39214994089807
"A_16",2.39141265364516,2.44997921360633
"A_17",-1.63330405891671,0.47392093321146
"A_18",-2.03933880841507,-0.448498325020741
"A_19",-1.94633524697721,-0.148238954112226
"A_20",-2.38815114921947,-0.2240007388215
"A_21",2.64661770058605,-1.90734303889028
"A_22",2.3926371190639,-1.60291385437111
"A_23",-2.33716722966188,0.238445290498504
"A_24",2.96941816205934,-2.0507504281142
"A_25",2.28700562946727,2.90478962707913
"A_26",-2.44991194251856,-0.420920641545527
"A_27",-2.34911168265465,-0.123444215760932
"A_28",-1.57151625636534,1.4226564441915
"A_29",-2.08382035489876,-0.173082707040655
"A_30",2.53729530406815,-1.15182962563433
"A_31",1.51371198681915,-0.572064846375492
"A_32",-2.06361469068545,-0.954966824398428
"A_33",2.02518906052989,4.44840391427194
"A_34",-2.69301492267698,-0.223528558115558
"A_35",2.20282350928785,-0.73191650132277
"B_36",1.71255475805654,5.95591547690567
"B_37",2.11505430316372,2.1330253890466
"B_38",1.04817993097083,0.99694089687215
"B_39",-2.22671569399471,-0.703043684961008
"B_40",-3.07118744993294,0.545997946885028
"B_41",2.54227361739529,-3.27394910731484
"B_42",2.30073931244946,-0.0115726942472748
"B_43",2.20298291234195,1.23033288579493
"B_44",1.97028428936981,3.36231391006265
"B_45",-2.74116674952991,-1.19826636951982
"B_46",2.24559842195409,-4.69049856066003
"B_47",2.18189944000768,0.391738140902942
"B_48",1.60678338753755,-0.232441969189747
"B_49",1.97735952615882,-0.512002949107939
"B_50",1.89423149163781,-2.63219283496279
"B_51",-2.56759457747288,-0.528254116842774
"B_52",1.95930938569022,0.832306078493024
"B_53",-2.68740372678386,0.081938727325722
"B_54",-2.7062213846943,-0.382454197853204
"B_55",-2.06851770701547,0.128074633311818
"B_56",-2.14041644765308,-0.401395476248029
"B_57",-3.13940664129987,-1.26197733632921
"B_58",-2.40862039835677,0.169465211636092
