"sample","comp1","comp2"
"A_01",3.01866784328301,-12.4369620981284
"A_02",2.29376720861279,2.45528806799099
"A_03",2.63016580611177,0.172446174597161
"A_04",-2.31747226844537,-1.93485880744134
"A_05",-2.64971305663191,-0.173131158342561
"A_06",1.02647882720602,5.57539508209055
"A_07",-2.46553723626817,-1.33617629631535
"A_08",1.95709914683587,13.2394104707497
"A_09",-2.35011588809718,-0.267348593756279
"A_10",3.06591640571182,-6.96106442770528
"A_11",-2.04888052127159,1.58535155426399
"A_12",2.61226275396407,-9.23145770107579
"A_13",-1.93394793421025,2.28203423153128
"A_14",-2.53495015998673,-3.84652422417206
"A_15",2.28543429064915,-3.91605809213002
"A_16",2.39141265364516,14.2636418441191
"A_17",-1.63330405891671,2.40358766183883
"A_18",-2.03933880841507,-0.246857163021942
"A_19",-1.94633524697721,-2.70080965040849
"A_20",-2.38815114921947,-3.47529073494287
"A_21",2.64661770058605,-4.85547878337242
"A_22",2.3926371190639,-1.08417509742994
"A_23",-2.33716722966188,2.19963433436983
"A_24",2.96941816205934,-8.53108575421942
"A_25",2.28700562946727,4.49809528046137
"A_26",-2.44991194251856,-2.02071403180742
"A_27",-2.34911168265465,-0.631911739984821
"A_28",-1.57151625636534,5.88949331731372
"A_29",-2.08382035489876,1.81605631946104
"A_30",2.53729530406815,-4.62211679511434
"A_31",1.51371198681915,5.08279013844646
"A_32",-2.06361469068545,-1.16000989903207
"A_33",2.02518906052989,7.21937264390398
"A_34",-2.69301492267698,3.18398223514239
"A_35",2.20282350928785,-2.43454830787996
"B_36",1.71255475805654,14.2238236890797
"B_37",2.11505430316372,5.2292822345164
"B_38",1.04817993097083,8.25394389033674
"B_39",-2.22671569399471,-2.4568365883902
"B_40",-3.07118744993294,2.86067380418294
"B_41",2.54227361739529,-11.0282840369474
"B_42",2.30073931244946,5.79662514064898
"B_43",2.20298291234195,0.492567678097928
"B_44",1.97028428936981,10.1757251325454
"B_45",-2.74116674952991,-3.92700629706722
"B_46",2.24559842195409,-11.856733433405
"B_47",2.18189944000768,-11.6841687774722
"B_48",1.60678338753755,2.63881265729185
"B_49",1.97735952615882,2.33842914651915
"B_50",1.89423149163781,-6.65060144697757
"B_51",-2.56759457747288,-1.57972436828924
"B_52",1.95930938569022,6.34314772725516
"B_53",-2.68740372678386,0.941725607067458
"B_54",-2.7062213846943,-2.89512013544892
"B_55",-2.06851770701547,-2.4468686310655
"B_56",-2.14041644765308,-2.11520862529586
"B_57",-3.13940664129987,-3.21962232907412
"B_58",-2.40862039835677,0.565417961891792
